group,function,value,sample_time_nanos,iteration_count
call price,,,1080408.0,12254
call price,,,2131115.0,24508
call price,,,2846620.0,36762
call price,,,3567626.0,49016
call price,,,4787634.0,61270
call price,,,6016843.0,73524
call price,,,6823349.0,85778
call price,,,7599354.0,98032
call price,,,8292859.0,110286
call price,,,10463375.0,122540
call price,,,11143980.0,134794
call price,,,11662883.0,147048
call price,,,12824192.0,159302
call price,,,13776698.0,171556
call price,,,15909214.0,183810
call price,,,14523704.0,196064
call price,,,19493939.0,208318
call price,,,17829827.0,220572
call price,,,18808935.0,232826
call price,,,22153258.0,245080
call price,,,23947771.0,257334
call price,,,22925564.0,269588
call price,,,28806106.0,281842
call price,,,28822206.0,294096
call price,,,24701776.0,306350
call price,,,30049015.0,318604
call price,,,28817906.0,330858
call price,,,27883199.0,343112
call price,,,29163708.0,355366
call price,,,29938614.0,367620
call price,,,31161823.0,379874
call price,,,31863827.0,392128
call price,,,31004422.0,404382
call price,,,33998143.0,416636
call price,,,35563154.0,428890
call price,,,36885964.0,441144
call price,,,35429253.0,453398
call price,,,38610276.0,465652
call price,,,46559732.0,477906
call price,,,39940586.0,490160
call price,,,39001378.0,502414
call price,,,41699998.0,514668
call price,,,41246295.0,526922
call price,,,44545018.0,539176
call price,,,43859413.0,551430
call price,,,44825021.0,563684
call price,,,44608218.0,575938
call price,,,46322731.0,588192
call price,,,47595840.0,600446
call price,,,50862964.0,612700
call price,,,48463346.0,624954
call price,,,51409767.0,637208
call price,,,51004865.0,649462
call price,,,50787463.0,661716
call price,,,53638683.0,673970
call price,,,61082336.0,686224
call price,,,54146087.0,698478
call price,,,57028908.0,710732
call price,,,58429617.0,722986
call price,,,61397739.0,735240
call price,,,59785027.0,747494
call price,,,68604590.0,759748
call price,,,60963736.0,772002
call price,,,61354638.0,784256
call price,,,64951364.0,796510
call price,,,64405360.0,808764
call price,,,68385789.0,821018
call price,,,66752277.0,833272
call price,,,70980907.0,845526
call price,,,72548718.0,857780
call price,,,70916607.0,870034
call price,,,72459217.0,882288
call price,,,75410939.0,894542
call price,,,71477511.0,906796
call price,,,77776856.0,919050
call price,,,75382538.0,931304
call price,,,76973850.0,943558
call price,,,76815749.0,955812
call price,,,84190801.0,968066
call price,,,81147280.0,980320
call price,,,81161280.0,992574
call price,,,82264288.0,1004828
call price,,,81105779.0,1017082
call price,,,82019186.0,1029336
call price,,,82378389.0,1041590
call price,,,83874500.0,1053844
call price,,,83321397.0,1066098
call price,,,85674313.0,1078352
call price,,,90344246.0,1090606
call price,,,90547349.0,1102860
call price,,,89117737.0,1115114
call price,,,87990730.0,1127368
call price,,,92091259.0,1139622
call price,,,90962051.0,1151876
call price,,,94112774.0,1164130
call price,,,93003766.0,1176384
call price,,,93743171.0,1188638
call price,,,96015687.0,1200892
call price,,,95709085.0,1213146
call price,,,97313596.0,1225400
